condition,midi,band,center_freq_hz,level_db
flute,76,8,10122.85498989576,25.77293893274033
flute,76,9,14957.456015162068,12.49770756078862
flute,104,0,253.76368639181615,-7.86086335380115
flute,104,1,478.8279082512245,-4.536319368783799
flute,104,2,809.6269994405562,2.8327375671654407
flute,104,3,1294.4969002249193,4.028429073393155
flute,104,4,2005.9415210019752,17.06538725162242
flute,104,5,3049.6957311016477,64.02472511758675
flute,104,6,4580.83733887449,54.74456228457718
flute,104,7,6826.94806306872,37.5820858907379
flute,104,8,10122.85498989576,34.799318112204375
flute,104,9,14957.456015162068,27.573549313935683
flute,68,0,253.76368639181615,47.179998755733656
flute,68,1,478.8279082512245,55.13781953857399
flute,68,2,809.6269994405562,54.417010223623905
flute,68,3,1294.4969002249193,53.384630414437524
flute,68,4,2005.9415210019752,53.620046421179914
flute,68,5,3049.6957311016477,37.23614732699944
flute,68,6,4580.83733887449,29.26953842899207
flute,68,7,6826.94806306872,19.47058438040727
flute,68,8,10122.85498989576,17.96558545001627
flute,68,9,14957.456015162068,13.108411928028449
flute,80,0,253.76368639181615,14.934127985784343
flute,80,1,478.8279082512245,21.826157306706193
flute,80,2,809.6269994405562,54.68049643760001
flute,80,3,1294.4969002249193,55.47247459124343
flute,80,4,2005.9415210019752,57.87730206662947
flute,80,5,3049.6957311016477,50.00276560468581
flute,80,6,4580.83733887449,30.926384791923816
flute,80,7,6826.94806306872,25.364152147545052
flute,80,8,10122.85498989576,26.10424738087586
flute,80,9,14957.456015162068,18.875538273967585
flute,94,0,253.76368639181615,-10.21314300979405
flute,94,1,478.8279082512245,3.829740722945662
flute,94,2,809.6269994405562,4.620891215379247
flute,94,3,1294.4969002249193,52.28476703459407
flute,94,4,2005.9415210019752,63.577786063823154
flute,94,5,3049.6957311016477,34.23108119322035
flute,94,6,4580.83733887449,35.98257236465672
flute,94,7,6826.94806306872,32.838818007648015
flute,94,8,10122.85498989576,20.875808826007226
flute,94,9,14957.456015162068,16.304735219618273
flute,71,0,253.76368639181615,9.561555313589311
flute,71,1,478.8279082512245,59.405769953224656
flute,71,2,809.6269994405562,53.62707544833341
flute,71,3,1294.4969002249193,52.30732425782371
flute,71,4,2005.9415210019752,51.19331566577475
flute,71,5,3049.6957311016477,41.063590210674946
flute,71,6,4580.83733887449,27.08830123821754
flute,71,7,6826.94806306872,18.737848809560035
flute,71,8,10122.85498989576,18.552563298580647
flute,71,9,14957.456015162068,11.514034955836788
flute,65,0,253.76368639181615,50.23996693964314
flute,65,1,478.8279082512245,51.948891330873714
flute,65,2,809.6269994405562,54.917339257938984
flute,65,3,1294.4969002249193,54.31520455875155
flute,65,4,2005.9415210019752,49.17488478394062
flute,65,5,3049.6957311016477,38.12169993216634
flute,65,6,4580.83733887449,32.63327285559187
flute,65,7,6826.94806306872,23.59006538706869
flute,65,8,10122.85498989576,19.768401717075058
flute,65,9,14957.456015162068,14.896834147568024
flute,99,0,253.76368639181615,-6.900947790703028
flute,99,1,478.8279082512245,-5.2564435917216255
flute,99,2,809.6269994405562,5.490822410768659
flute,99,3,1294.4969002249193,9.8185463361811
flute,99,4,2005.9415210019752,61.2026476556549
flute,99,5,3049.6957311016477,61.536013627493766
flute,99,6,4580.83733887449,36.935493858388924
flute,99,7,6826.94806306872,35.01928780469336
flute,99,8,10122.85498989576,30.258662974376335
flute,99,9,14957.456015162068,16.660043269573034
flute,86,0,253.76368639181615,1.2079992533123887
flute,86,1,478.8279082512245,4.876941015778121
flute,86,2,809.6269994405562,55.14873613327111
flute,86,3,1294.4969002249193,64.28658176584469
flute,86,4,2005.9415210019752,34.11194878015855
flute,86,5,3049.6957311016477,34.943450117679305
flute,86,6,4580.83733887449,31.09500246883711
flute,86,7,6826.94806306872,17.94365880160229
flute,86,8,10122.85498989576,15.879956741370052
flute,86,9,14957.456015162068,3.445259970142545
flute,92,0,253.76368639181615,-2.524003573646587
flute,92,1,478.8279082512245,4.72731719675283
flute,92,2,809.6269994405562,7.089356288747237
flute,92,3,1294.4969002249193,60.07772284268781
flute,92,4,2005.9415210019752,61.84582168717158
flute,92,5,3049.6957311016477,36.70478193243294
flute,92,6,4580.83733887449,34.89017301788907
flute,92,7,6826.94806306872,29.51418496858491
flute,92,8,10122.85498989576,16.79797352108359
flute,92,9,14957.456015162068,14.599958665923785
flute,102,0,253.76368639181615,-3.19345630442762
flute,102,1,478.8279082512245,-8.51738108743353
flute,102,2,809.6269994405562,4.112021501329898
flute,102,3,1294.4969002249193,4.592025774518081
flute,102,4,2005.9415210019752,45.0330860304137
flute,102,5,3049.6957311016477,64.02211384737727
flute,102,6,4580.83733887449,32.319573300145926
flute,102,7,6826.94806306872,36.96498445275805
flute,102,8,10122.85498989576,34.220348634559834
flute,102,9,14957.456015162068,24.573355352701057
flute,56,0,253.76368639181615,53.60101183904855
flute,56,1,478.8279082512245,54.33735510889109
flute,56,2,809.6269994405562,49.91137250058904
flute,56,3,1294.4969002249193,48.5931064633055
flute,56,4,2005.9415210019752,39.16464351680367
flute,56,5,3049.6957311016477,26.82379706196443
flute,56,6,4580.83733887449,20.071724452542085
flute,56,7,6826.94806306872,15.673603692702178
flute,56,8,10122.85498989576,12.26433026166795
flute,56,9,14957.456015162068,1.6846995502654538
flute,77,0,253.76368639181615,19.24284090918193
flute,77,1,478.8279082512245,54.16869311610498
flute,77,2,809.6269994405562,60.313469263365604
flute,77,3,1294.4969002249193,55.49445816484885
flute,77,4,2005.9415210019752,46.779100092320014
flute,77,5,3049.6957311016477,36.77725769473935
flute,77,6,4580.83733887449,28.970183760471706
flute,77,7,6826.94806306872,21.953597064833343
flute,77,8,10122.85498989576,26.156356205352857
flute,77,9,14957.456015162068,15.439332426836144
flute,63,0,253.76368639181615,52.17745828394332
flute,63,1,478.8279082512245,52.449130278523974
flute,63,2,809.6269994405562,52.60111209876905
flute,63,3,1294.4969002249193,54.83954824440179
flute,63,4,2005.9415210019752,47.464723587275444
flute,63,5,3049.6957311016477,36.813815675317784
flute,63,6,4580.83733887449,30.073802668120496
flute,63,7,6826.94806306872,21.61368743754254
flute,63,8,10122.85498989576,19.584152892615865
flute,63,9,14957.456015162068,10.044612107859479
harmoniccomplex,71,0,253.76368639181615,46.59357521588323
harmoniccomplex,71,1,478.8279082512245,89.97529157634331
harmoniccomplex,71,2,809.6269994405562,78.5080061520338
harmoniccomplex,71,3,1294.4969002249193,76.30873256956502
harmoniccomplex,71,4,2005.9415210019752,64.67573009543963
harmoniccomplex,71,5,3049.6957311016477,47.48758638312972
harmoniccomplex,71,6,4580.83733887449,23.97900189131431
harmoniccomplex,71,7,6826.94806306872,-16.068094489220467
harmoniccomplex,71,8,10122.85498989576,-14.381220594251623
harmoniccomplex,71,9,14957.456015162068,-12.941396926328196
harmoniccomplex,76,0,253.76368639181615,12.976920238414127
harmoniccomplex,76,1,478.8279082512245,85.70629757241628
harmoniccomplex,76,2,809.6269994405562,87.9787943300114
harmoniccomplex,76,3,1294.4969002249193,79.99552804771908
harmoniccomplex,76,4,2005.9415210019752,70.17135671389704
harmoniccomplex,76,5,3049.6957311016477,58.98502724304904
harmoniccomplex,76,6,4580.83733887449,41.58625611484552
harmoniccomplex,76,7,6826.94806306872,13.741877382371015
harmoniccomplex,76,8,10122.85498989576,-14.416633244054998
harmoniccomplex,76,9,14957.456015162068,-12.896124347570886
harmoniccomplex,89,0,253.76368639181615,-18.073232439503226
harmoniccomplex,89,1,478.8279082512245,-10.689895088463148
harmoniccomplex,89,2,809.6269994405562,15.588492609531992
harmoniccomplex,89,3,1294.4969002249193,89.74296187457468
harmoniccomplex,89,4,2005.9415210019752,78.47146700379906
harmoniccomplex,89,5,3049.6957311016477,79.46980450055275
harmoniccomplex,89,6,4580.83733887449,69.60220495185852
harmoniccomplex,89,7,6826.94806306872,57.43368711383325
harmoniccomplex,89,8,10122.85498989576,37.79844500150936
harmoniccomplex,89,9,14957.456015162068,10.512955427763536
harmoniccomplex,63,0,253.76368639181615,89.07107479904518
harmoniccomplex,63,1,478.8279082512245,83.92706758158903
harmoniccomplex,63,2,809.6269994405562,77.3038938234256
harmoniccomplex,63,3,1294.4969002249193,64.58393594833775
harmoniccomplex,63,4,2005.9415210019752,46.44590501255725
harmoniccomplex,63,5,3049.6957311016477,20.825518538079354
harmoniccomplex,63,6,4580.83733887449,-17.841167251185194
harmoniccomplex,63,7,6826.94806306872,-16.09899065228092
harmoniccomplex,63,8,10122.85498989576,-14.461985150815572
harmoniccomplex,63,9,14957.456015162068,-12.778446714636933
harmoniccomplex,64,0,253.76368639181615,88.38145649976084
harmoniccomplex,64,1,478.8279082512245,85.41999423625212
harmoniccomplex,64,2,809.6269994405562,78.40596130789984
