midi,frequency,condition_flute,condition_harmoniccomplex,condition_viola,condition_viola_complex,centroid,rolloff
62,293.66476791740763,False,False,False,True,346.9122462171818,296.0
63,311.1269837220809,True,False,False,False,864.9467851678644,1260.5044433417538
63,311.1269837220809,False,True,False,False,345.6883020944158,312.0
63,311.1269837220809,False,False,True,False,901.7189699686764,1716.6453198559957
63,311.1269837220809,False,False,False,True,606.0796172210752,928.0
64,329.62755691286986,True,False,False,False,855.6211442817618,1330.1915839890523
64,329.62755691286986,False,True,False,False,366.2444410292388,331.0
64,329.62755691286986,False,False,True,False,860.1366904216391,1658.9562990235313
64,329.62755691286986,False,False,False,True,508.140517507678,659.0
65,349.22823143300394,True,False,False,False,914.1192752198197,1407.499718055712
65,349.22823143300394,False,True,False,False,388.0272341070104,350.0
65,349.22823143300394,False,False,True,False,923.7635203737078,1922.2537290242385
65,349.22823143300394,False,False,False,True,524.1974261581503,699.0
66,369.9944227116344,True,False,False,False,878.5968229291617,1488.99207556595
66,369.9944227116344,False,True,False,False,411.1048753831016,371.0
66,369.9944227116344,False,False,True,False,1262.4894016301246,2035.7272727272723
66,369.9944227116344,False,False,False,True,1015.1510986252767,1849.0
67,391.9954359817492,True,False,False,False,983.3188852182228,1580.0668328047122
67,391.9954359817492,False,True,False,False,435.55045445799817,393.0
67,391.9954359817492,False,False,True,False,1370.6905792469374,2177.1518625272283
67,391.9954359817492,False,False,False,True,1058.242034546265,1958.0
68,415.3046975799452,True,False,False,False,1064.2400758817626,1672.4204584331164
68,415.3046975799452,False,True,False,False,461.4569690363874,416.0
68,415.3046975799452,False,False,True,False,1392.189289772673,2485.6643763829043
68,415.3046975799452,False,False,False,True,907.7778991825372,1663.0
69,440.0,True,False,False,False,807.4819491537069,1110.0845832863424
69,440.0,False,True,False,False,488.888818411268,441.0
69,440.0,False,False,True,False,1298.6637336745837,2203.3085912823753
69,440.0,False,False,False,True,1234.7136736136374,2192.0
70,466.1637615180898,True,False,False,False,828.967601587176,1173.7937650424594
70,466.1637615180898,False,True,False,False,517.9499457619698,467.0
70,466.1637615180898,False,False,True,False,1393.2388400268762,2340.961478788953
70,466.1637615180898,False,False,False,True,1326.65548486747,2323.0
71,493.88330125612424,True,False,False,False,796.019345103478,995.8692992591588
71,493.88330125612424,False,True,False,False,548.7672961134759,495.0
71,493.88330125612424,False,False,True,False,1427.368084906249,2477.0890027213063
71,493.88330125612424,False,False,False,True,1557.9508767151856,2461.0
72,523.2511306011972,True,False,False,False,690.5688951977177,1046.9773342739456
72,523.2511306011972,False,True,False,False,581.3893236082265,524.0
72,523.2511306011972,False,False,True,False,1076.6739119586175,2087.1963624034297
72,523.2511306011972,False,False,False,True,979.6859636980064,2086.0
73,554.3652619537442,True,False,False,False,712.8796561249274,1105.2286505756
73,554.3652619537442,False,True,False,False,615.9707213583673,555.0
73,554.3652619537442,False,False,True,False,1021.4568909303696,2208.1370114055608
73,554.3652619537442,False,False,False,True,957.4023331643236,1108.0
74,587.3295358348153,True,False,False,False,759.5383905658618,1175.3221212532212
74,587.3295358348153,False,True,False,False,652.5975840374937,588.0
74,587.3295358348153,False,False,True,False,1166.843770695374,2064.0435525192142
74,587.3295358348153,False,False,False,True,1200.2641766686197,2342.0
75,622.2539674441618,True,False,False,False,766.7942812919914,929.3628636661616
75,622.2539674441618,False,True,False,False,691.3927114176703,623.0
75,622.2539674441618,False,False,True,False,1241.882611177591,2496.058217101274
75,622.2539674441618,False,False,False,True,1101.0604610647613,1860.0
76,659.2551138257397,True,False,False,False,918.3989776105608,1321.6143360911435
76,659.2551138257397,False,True,False,False,732.5052463353079,660.0
76,659.2551138257397,False,False,True,False,1839.4132283923248,2647.151044030867
76,659.2551138257397,False,False,False,True,1658.391049537752,2646.0
77,698.4564628660079,True,False,False,False,926.4420519873584,1399.7331770702954
77,698.4564628660079,False,True,False,False,776.0639057952081,699.0
77,698.4564628660079,False,False,True,False,1942.0581686780893,2804.8053099356716
77,698.4564628660079,False,False,False,True,1896.9620551565056,2802.0
78,739.9888454232688,True,False,False,False,1001.696198209019,1483.2806135220626
78,739.9888454232688,False,True,False,False,822.2097846995266,741.0
78,739.9888454232688,False,False,True,False,2061.009193133259,2969.610578878395
78,739.9888454232688,False,False,False,True,1946.930802693785,2209.0
79,783.9908719634984,True,False,False,False,1612.41609242786,2354.149542471788
79,783.9908719634984,False,True,False,False,871.1009248219575,785.0
79,783.9908719634984,False,False,True,False,2248.0019145010574,3145.9829889791044
79,783.9908719634984,False,False,False,True,2124.974140918219,2340.0
80,830.6093951598904,True,False,False,False,1657.8753294529383,2077.279126268704
80,830.6093951598904,False,True,False,False,922.893221908522,832.0
80,830.6093951598904,False,False,True,False,2364.6489903461884,3341.1068363421127
80,830.6093951598904,False,False,False,True,2215.613888093526,3333.0
