stimulus,band,center_freq_hz,level_db
stim512_heart_beat.wav,8,1773.9798868493556,-1.3180852482339998
stim512_heart_beat.wav,9,2219.4748358862144,-4.513738091370106
stim512_heart_beat.wav,10,2763.46866815569,-6.900915568043652
stim512_heart_beat.wav,11,3428.9611228897634,-7.646855322080375
stim512_heart_beat.wav,12,4241.951905307196,-7.023236216588015
stim512_heart_beat.wav,13,5235.940635593701,-5.259441656795324
stim512_heart_beat.wav,14,6450.92686023968,-6.350686244615028
stim512_heart_beat.wav,15,7936.410018027007,-6.838869564397583
stim512_heart_beat.wav,16,9751.389440029025,-9.39339676180716
stim512_heart_beat.wav,17,11970.364281584109,-15.57319162304233
stim512_heart_beat.wav,18,14682.333533633406,-14.812671333230574
stim512_heart_beat.wav,19,17997.79594335665,-13.74897425327168
stim517_soundtrack_from_an_action_scene.wav,0,172.99803857099127,43.83113928136904
stim517_soundtrack_from_an_action_scene.wav,1,262.4970238432671,43.52392785845546
stim517_soundtrack_from_an_action_scene.wav,2,371.4957880296142,38.72823824024301
stim517_soundtrack_from_an_action_scene.wav,3,504.9942744413329,39.946480319964486
stim517_soundtrack_from_an_action_scene.wav,4,668.4924207208535,37.236080310865525
stim517_soundtrack_from_an_action_scene.wav,5,867.9901588417365,36.32784068118462
stim517_soundtrack_from_an_action_scene.wav,6,1111.4873981020623,35.203127145438685
stim517_soundtrack_from_an_action_scene.wav,7,1409.9840137866918,34.633500544098574
stim517_soundtrack_from_an_action_scene.wav,8,1773.9798868493556,34.65555368968286
stim517_soundtrack_from_an_action_scene.wav,9,2219.4748358862144,32.47544181479196
stim517_soundtrack_from_an_action_scene.wav,10,2763.46866815569,31.378533536716617
stim517_soundtrack_from_an_action_scene.wav,11,3428.9611228897634,29.67516672108925
stim517_soundtrack_from_an_action_scene.wav,12,4241.951905307196,27.650116172832803
stim517_soundtrack_from_an_action_scene.wav,13,5235.940635593701,26.285092720764105
stim517_soundtrack_from_an_action_scene.wav,14,6450.92686023968,25.817428354426294
stim517_soundtrack_from_an_action_scene.wav,15,7936.410018027007,25.25459038583496
stim517_soundtrack_from_an_action_scene.wav,16,9751.389440029025,24.242241800073216
stim517_soundtrack_from_an_action_scene.wav,17,11970.364281584109,22.013445999849207
stim517_soundtrack_from_an_action_scene.wav,18,14682.333533633406,20.254184447124572
stim517_soundtrack_from_an_action_scene.wav,19,17997.79594335665,15.560560185619972
stim197_road_traffic.wav,0,172.99803857099127,43.81127813245722
stim197_road_traffic.wav,1,262.4970238432671,40.56575826799572
stim197_road_traffic.wav,2,371.4957880296142,37.14173350042829
stim197_road_traffic.wav,3,504.9942744413329,38.73358398183248
stim197_road_traffic.wav,4,668.4924207208535,34.4377829629207
stim197_road_traffic.wav,5,867.9901588417365,36.261018895796255
stim197_road_traffic.wav,6,1111.4873981020623,39.359417222607696
stim197_road_traffic.wav,7,1409.9840137866918,38.228654950936175
stim197_road_traffic.wav,8,1773.9798868493556,36.39385526607078
stim197_road_traffic.wav,9,2219.4748358862144,34.14085107441175
stim197_road_traffic.wav,10,2763.46866815569,34.35989212784626
stim197_road_traffic.wav,11,3428.9611228897634,30.833302599496474
