condition,midi,f0_hz,elevation,dry_centroid_hz,filtered_centroid_hz,centroid_shift_hz,n_harmonics_found,harmonic_attenuation_db,between_harmonic_attenuation_db,between_minus_harmonic_db,top_notch_1_hz,top_notch_2_hz,mean_notch_harmonic_dist_hz,min_notch_harmonic_dist_hz,mean_notch_misalignment_ratio,n_notches_on_harmonic,n_notches_between_harmonics
viola,90,1480.7297171299356,-12.5,4041.5637580645766,3511.0282182593537,-530.5355398052229,12,-45.9472761440582,-45.74227649179463,0.20499965226357375,2243.8356164383563,1812.328767123288,390.97143721907105,46.880016588185754,0.528079409356195,0,16
viola,90,1480.7297171299356,0.0,4041.5637580645766,3442.2280670467508,-599.3356910178259,12,-47.68592647791104,-48.57861795765562,-0.8926914797445775,2200.6849315068494,1812.328767123288,352.82392109910114,39.42135327482811,0.4765541165513603,0,12
viola,90,1480.7297171299356,12.5,4041.5637580645766,3426.1337014139726,-615.430056650604,12,-52.09972748135897,-46.12249275349828,5.97723472786069,2200.6849315068494,1898.6301369863015,346.7872097067636,22.83952268835492,0.4684004186516001,1,13
viola,90,1480.7297171299356,25.0,4041.5637580645766,3452.720984945582,-588.8427731189945,12,-47.91040481598853,-47.50562935869985,0.4047754572886788,2243.8356164383563,2545.8904109589043,402.7557791095892,48.18633615154113,0.5439963478145647,0,14
viola,91,1570.643071242601,-25.0,4212.780681469983,3550.3730640818917,-662.4076173880917,12,-49.43779306961332,-46.60383328900437,2.83395978060895,2028.082191780822,1812.328767123288,464.39158818493144,78.69521885701943,0.5913394286552094,0,21
viola,91,1570.643071242601,-12.5,4212.780681469983,3660.775929788042,-552.0047516819413,12,-46.58055944261179,-46.71367798407125,-0.13311854145946,2243.8356164383563,1812.328767123288,439.41060941513274,70.87837114725971,0.5595295550726196,0,16
viola,91,1570.643071242601,0.0,4212.780681469983,3524.9518561532805,-687.8288253167029,12,-52.20392200992137,-46.45411859765082,5.749803412270552,2200.6849315068494,1812.328767123288,442.4402524347172,109.49907694777357,0.5633873927635059,0,12
viola,91,1570.643071242601,12.5,4212.780681469983,3444.6287722780658,-768.1519091919176,12,-48.448384131853835,-45.36310147844917,3.0852826534046685,2200.6849315068494,1898.6301369863015,418.86354211258555,15.465138056506476,0.5333656637611564,1,13
viola,91,1570.643071242601,25.0,4212.780681469983,3464.8534790631898,-747.9272024067936,12,-50.788759446849156,-43.792242682706274,6.996516764142882,2243.8356164383563,2545.8904109589043,356.2309369648971,9.312794306506476,0.45361157284839787,1,13
viola,106,1861.4924577655574,-25.0,8177.010735973674,5898.662529438972,-2278.3482065347016,11,-52.80459747763913,-48.94920340609611,3.8553940715430173,2028.082191780822,1812.328767123288,444.15366812928073,0.18962703339093423,0.47720168435430627,3,18
viola,106,1861.4924577655574,-12.5,8177.010735973674,6130.029133162555,-2046.981602811119,11,-51.23805799791256,-49.08526185303435,2.1527961448782094,2243.8356164383563,1812.328767123288,418.22768956014556,28.76010006421211,0.4493466388385641,1,15
viola,106,1861.4924577655574,0.0,8177.010735973674,6164.127100409831,-2012.8836355638432,11,-50.3184120558264,-48.8185599413842,1.4998521144421986,2200.6849315068494,1812.328767123288,418.30494501819334,7.332245291096115,0.44942964262160445,2,10
viola,106,1861.4924577655574,12.5,8177.010735973674,6203.221169391063,-1973.7895665826109,11,-51.088101369550124,-49.74859288614093,1.3395084834091904,2200.6849315068494,1898.6301369863015,518.8150484267978,50.482930222603045,0.5574183728356951,0,14
viola,106,1861.4924577655574,25.0,8177.010735973674,6052.978298203443,-2124.032437770231,11,-48.59888291286967,-63.302604210331246,-14.703721297461577,2243.8356164383563,2545.8904109589043,387.8399574593322,7.332245291096115,0.4166978553594312,2,12
viola,107,1976.8316707344977,-25.0,8659.907254297974,6643.661844918215,-2016.2454093797587,11,-49.83187949373169,-49.724369868958966,0.10750962477272452,2028.082191780822,1812.328767123288,472.2174657534247,79.32730896832209,0.4777518215073626,0,21
viola,107,1976.8316707344977,-12.5,8659.907254297974,6659.308707639693,-2000.5985466582806,11,-49.501399251297634,-50.54216582147952,-1.0407665701818871,2243.8356164383563,1812.328767123288,430.5271096425514,70.87837114725971,0.43557285733143664,0,16
viola,107,1976.8316707344977,0.0,8659.907254297974,6476.320406083205,-2183.586848214769,11,-48.4784949131083,-49.96748944146289,-1.4889945283545885,2200.6849315068494,1812.328767123288,429.51225385273983,36.176624036815156,0.4345461075025709,0,12
