stimulus,spectral_centroid_hz
stim60_car_horn.wav,2156.769109508774
stim62_car_skidding.wav,1760.4995111084436
stim66_cash_register.wav,6296.620184575827
stim68_cat_meowing.wav,2081.724784695866
stim69_cat_purring.wav,812.5344596580081
stim71_cellphone_vibrating.wav,2676.2407264863136
stim72_cello.wav,969.2316472768556
stim76_chair_rolling.wav,1787.868720840162
stim78_chimes_in_the_wind.wav,3878.7161587576707
stim7_applause.wav,3189.4298212539757
stim80_chopping_food.wav,3769.701277103086
stim82_church_bells.wav,1251.332126256368
stim83_cicadas.wav,6105.731622418133
stim86_clock_ticking.wav,6756.506183810973
stim88_coin_dropping.wav,7244.343251795075
stim89_coin_in_vending_machine.wav,4481.845477870828
stim91_coughing.wav,3028.209074631991
stim92_country_song.wav,2594.4664432326276
stim97_crickets.wav,5923.4955751438865
stim98_crowd_cheering.wav,2858.0950466464233
