onset_sec,note,velocity,offset,duration,freq
54.5,55.0,80.0,54.97291666666667,0.47291666666667,195.99771799087466
55.0,60.0,80.0,55.947916666666664,0.9479166666666643,261.6255653005986
56.0,60.0,80.0,56.947916666666664,0.9479166666666643,261.6255653005986
57.0,59.0,80.0,57.47291666666667,0.47291666666667,246.94165062806212
57.5,60.0,80.0,57.735416666666666,0.23541666666666572,261.6255653005986
57.75,62.0,80.0,57.985416666666666,0.23541666666666572,293.66476791740763
58.0,63.0,80.0,58.47291666666667,0.47291666666667,311.1269837220809
58.5,62.0,80.0,58.97291666666667,0.47291666666667,293.66476791740763
59.0,60.0,80.0,59.47291666666667,0.47291666666667,261.6255653005986
59.5,66.0,80.0,59.97291666666667,0.47291666666667,369.9944227116344
60.0,67.0,80.0,60.47291666666667,0.47291666666667,391.9954359817492
60.5,58.0,80.0,60.97291666666667,0.47291666666667,233.0818807590449
61.0,60.0,80.0,61.47291666666667,0.47291666666667,261.6255653005986
61.5,60.0,80.0,61.97291666666667,0.47291666666667,261.6255653005986
62.0,62.0,80.0,62.47291666666667,0.47291666666667,293.66476791740763
62.5,62.0,80.0,62.97291666666667,0.47291666666667,293.66476791740763
63.0,55.0,80.0,63.947916666666664,0.9479166666666643,195.99771799087466
64.0,67.0,80.0,64.71041666666666,0.71041666666666,391.9954359817492
64.75,65.0,80.0,64.98541666666667,0.23541666666666572,349.22823143300394
65.0,62.0,80.0,65.47291666666666,0.4729166666666629,293.66476791740763
65.5,62.0,80.0,65.73541666666667,0.23541666666666572,293.66476791740763
65.75,63.0,80.0,65.98541666666667,0.23541666666666572,311.1269837220809
66.0,60.0,80.0,66.94791666666667,0.9479166666666714,261.6255653005986
67.0,64.0,80.0,67.47291666666666,0.4729166666666629,329.62755691286986
67.5,67.0,80.0,67.97291666666666,0.4729166666666629,391.9954359817492
68.0,67.0,80.0,68.71041666666666,0.71041666666666,391.9954359817492
68.75,65.0,80.0,68.98541666666667,0.23541666666666572,349.22823143300394
69.0,62.0,80.0,69.47291666666666,0.4729166666666629,293.66476791740763
69.5,62.0,80.0,69.73541666666667,0.23541666666666572,293.66476791740763
69.75,59.0,80.0,69.98541666666667,0.23541666666666572,246.94165062806212
70.0,60.0,80.0,70.47291666666666,0.4729166666666629,261.6255653005986
70.5,64.0,80.0,70.97291666666666,0.4729166666666629,329.62755691286986
71.0,55.0,80.0,71.94791666666667,0.9479166666666714,195.99771799087466
72.0,64.0,80.0,72.47291666666666,0.4729166666666629,329.62755691286986
72.5,65.0,80.0,72.73541666666667,0.23541666666666572,349.22823143300394
72.75,66.0,80.0,72.98541666666667,0.23541666666666572,369.9944227116344
73.0,69.0,80.0,73.47291666666666,0.4729166666666629,440.0
73.5,67.0,80.0,73.97291666666666,0.4729166666666629,391.9954359817492
74.0,72.0,80.0,74.47291666666666,0.4729166666666629,523.2511306011972
74.5,64.0,80.0,75.44791666666667,0.9479166666666714,329.62755691286986
75.5,69.0,80.0,75.97291666666666,0.4729166666666629,440.0
76.0,67.0,80.0,76.47291666666666,0.4729166666666629,391.9954359817492
76.5,65.0,80.0,76.73541666666667,0.23541666666666572,349.22823143300394
76.75,64.0,80.0,76.98541666666667,0.23541666666666572,329.62755691286986
77.0,62.0,80.0,77.47291666666666,0.4729166666666629,293.66476791740763
77.5,60.0,80.0,77.97291666666666,0.4729166666666629,261.6255653005986
78.0,64.0,80.0,78.47291666666666,0.4729166666666629,329.62755691286986
78.5,55.0,80.0,79.92291666666667,1.4229166666666657,195.99771799087466
80.0,72.0,80.0,80.71041666666666,0.71041666666666,523.2511306011972
80.75,70.0,80.0,80.98541666666667,0.23541666666666572,466.1637615180898
81.0,68.0,80.0,81.47291666666666,0.4729166666666629,415.3046975799452
81.5,67.0,80.0,81.97291666666666,0.4729166666666629,391.9954359817492
82.0,68.0,80.0,82.71041666666666,0.71041666666666,415.3046975799452
82.75,67.0,80.0,82.98541666666667,0.23541666666666572,391.9954359817492
83.0,65.0,80.0,83.47291666666666,0.4729166666666629,349.22823143300394
83.5,63.0,80.0,83.97291666666666,0.4729166666666629,311.1269837220809
84.0,65.0,80.0,84.47291666666666,0.4729166666666629,349.22823143300394
84.5,62.0,80.0,84.97291666666666,0.4729166666666629,293.66476791740763
85.0,63.0,80.0,85.47291666666666,0.4729166666666629,311.1269837220809
85.5,60.0,80.0,85.97291666666666,0.4729166666666629,261.6255653005986
86.0,67.0,80.0,87.89791666666666,1.89791666666666,391.9954359817492
88.0,67.0,80.0,88.94791666666667,0.9479166666666714,391.9954359817492
89.0,64.0,80.0,89.94791666666667,0.9479166666666714,329.62755691286986
90.0,72.0,80.0,90.94791666666667,0.9479166666666714,523.2511306011972
91.0,69.0,80.0,91.94791666666667,0.9479166666666714,440.0
92.0,67.0,80.0,92.47291666666666,0.4729166666666629,391.9954359817492
92.5,60.0,80.0,92.97291666666666,0.4729166666666629,261.6255653005986
93.0,65.0,80.0,93.47291666666666,0.4729166666666629,349.22823143300394
93.5,64.0,80.0,93.97291666666666,0.4729166666666629,329.62755691286986
94.0,62.0,80.0,94.47291666666666,0.4729166666666629,293.66476791740763
94.5,65.0,80.0,94.97291666666666,0.4729166666666629,349.22823143300394
95.0,57.0,80.0,95.94791666666667,0.9479166666666714,220.0
96.0,67.0,80.0,96.94791666666667,0.9479166666666714,391.9954359817492
97.0,75.0,80.0,97.47291666666666,0.4729166666666629,622.2539674441618
97.5,74.0,80.0,97.97291666666666,0.4729166666666629,587.3295358348153
98.0,72.0,80.0,98.94791666666667,0.9479166666666714,523.2511306011972
99.0,67.0,80.0,99.47291666666666,0.4729166666666629,391.9954359817492
99.5,70.0,80.0,99.97291666666666,0.4729166666666629,466.1637615180898
100.0,68.0,80.0,100.94791666666667,0.9479166666666714,415.3046975799452
101.0,70.0,80.0,101.47291666666666,0.4729166666666629,466.1637615180898
101.5,67.0,80.0,101.97291666666666,0.4729166666666629,391.9954359817492
102.0,65.0,80.0,102.94791666666667,0.9479166666666714,349.22823143300394
103.0,67.0,80.0,103.94791666666667,0.9479166666666714,391.9954359817492
104.0,67.0,80.0,104.94791666666667,0.9479166666666714,391.9954359817492
